

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
129.856  006.751  000.529: require('nvim-tree.api')
129.882  007.372  000.621: require('nvim-tree.keymap-legacy')
129.900  007.638  000.265: require('nvim-tree.commands')
130.137  000.235  000.235: require('nvim-tree.actions.root.change-dir')
130.339  000.200  000.200: require('nvim-tree.legacy')
130.386  018.951  000.684: require('nvim-tree')
130.812  000.257  000.257: require('nvim-tree.actions')
132.785  001.564  001.564: require('nvim-web-devicons')
134.865  023.526  002.755: require('_nvim-tree')
135.784  000.222  000.222: require('todo-comments.util')
135.798  000.593  000.371: require('todo-comments.config')
136.576  000.555  000.555: require('todo-comments.highlight')
136.581  000.781  000.226: require('todo-comments.jump')
136.583  001.592  000.218: require('todo-comments')
136.607  001.737  000.145: require('_todo-comments')
136.609  131.897  000.495: require('plugins')
137.407  000.684  000.684: require('harpoon.ui')
140.722  001.014  001.014: require('tokyonight.treesitter')
140.741  001.553  000.539: require('tokyonight.util')
142.948  000.311  000.311: require('tokyonight.colors')
142.952  002.209  001.898: require('tokyonight.theme')
143.191  000.237  000.237: require('tokyonight.config')
143.195  004.268  000.269: require('tokyonight')
144.079  000.430  000.430: require('vim.treesitter.highlighter')
145.566  006.660  001.963: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/tokyonight.nvim/colors/tokyonight.lua
148.567  144.067  004.826: sourcing /home/anon/.config/nvim/init.lua
148.580  001.922: sourcing vimrc file(s)
150.356  001.257  001.257: sourcing /snap/nvim/2809/usr/share/nvim/runtime/filetype.lua
151.062  000.199  000.199: sourcing /snap/nvim/2809/usr/share/nvim/runtime/syntax/synload.vim
151.239  000.765  000.566: sourcing /snap/nvim/2809/usr/share/nvim/runtime/syntax/syntax.vim
153.082  000.228  000.228: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/gzip.vim
153.127  000.012  000.012: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/health.vim
153.819  000.217  000.217: sourcing /snap/nvim/2809/usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
